,Unnamed: 0,EIN,NAME,ICO,STREET,CITY,STATE,ZIP,NTEE_CD,Website URL,Phone
21,70809,411800192,THE COMMUNITY DEVELOPMENT VENTURE CAPITAL ALLIANCE,% JUDY BURTON,475 RIVERSIDE DR STE 1264,NEW YORK,NY,10115-0052,S31,,
22,71126,421650478,CHINATOWN PARTNERSHIP LOCAL DEVELOPMENT CORPORATION,,217 PARK ROW 2FL9,NEW YORK,NY,10038-1101,S30,,
23,71533,450722514,WEST HARLEM DEVELOPMENT CORPORATION,,423 W 127TH ST SUITE A,NEW YORK,NY,10027-2561,S30,,
24,72445,453190226,HARDESTY RENAISSANCE ECONOMIC DEVELOPMENT CORPORATION,% ASIAN AMERICANS FOR EQUALITY,2 ALLEN STREET 7TH FLOOR,NEW YORK,NY,10002-5302,S30,,
25,73992,455484405,DEMOCRACYATWORK INFO,% RICHARD WOLFF,523 EAST 14TH STREET APT 1W,NEW YORK,NY,10009-2927,S30,,
26,76684,463790675,OLD SEAPORT ALLIANCE,% WHITNEY BARRAT,CO COWGIRL SEAHORSE 259 FRONT ST,NEW YORK,NY,10038-0000,S30,,
27,77212,464335287,INTERVAL PROJECTS INC,,100 WEST 141ST STREET APT 37,NEW YORK,NY,10030-0000,S31,,
28,78463,471044631,SOHO BROAADWAY DISTRICT MANAGEMENT ASSOCIATION,% NEWMARK GRUBB,594 BROADWAY RM 1107,NEW YORK,NY,10012-3289,S30,,
29,78640,471247857,HUDSON YARDS HELLS KITCHEN BUSINESS IMPROVEMENT DISTRICT INC,,412 WEST 42ND STREET 3 FL,NEW YORK,NY,10036-6809,S30,,
30,78911,471562167,NYC NEIGHBORHOOD CAPITAL CORPORATION,% GENERAL COUNSEL,ONE LIBERTY PLAZA,NEW YORK,NY,10006-1404,S30,,
31,80236,472847445,URBAN MANUFACTURING ALLIANCE,,1216 BROADWAY,NEW YORK,NY,10001-4483,S31,,
32,81196,474026240,BERRYBIZZY HUMAN BEING INC,,556 W 158TH ST UNIT 321792,NEW YORK,NY,10032-9506,S31,,
33,84486,522228170,POSITIVE PLANET US CORP,% INGRID GONZALEZ,136 MADISON AVENUE 6TH FLOOR,NEW YORK,NY,10016-6795,S31,,
34,85863,593814814,TRUFUND FINANCIAL SERVICES INC,% KENNETH HARVEY,39 WEST 37TH STREET 7TH FLOOR,NEW YORK,NY,10018-0000,S30,,
35,88896,810788036,MEATPACKING DISTRICT MANAGEMENT ASSOCIATION INC,,32 GANSEVOORT STREET,NEW YORK,NY,10014-1669,S30,,
36,89808,811983565,BREAKOUT FOUNDATION INC,% GRAHAM COHEN,224 W 35TH ST STE 500 UNIT 512,NEW YORK,NY,10001-2538,S31,,
37,98698,833091628,THE UMMAH GROUP INC,% ASKIA MUHAMMAD,168-30 127 AVENUE,NEW YORK,NY,10027-0000,S30,,
38,99579,834301753,LIN CHARITABLE FOUNDATION,% NELSON LIN,75 W END AVE APT P2G,NEW YORK,NY,10023-7868,S30,,
39,99594,834324097,EVEREST ENTERPRISERS INC,% NELSON LIN,75 W END AVE APT P2G,NEW YORK,NY,10023-7868,S30,,
40,99753,834563943,SKYLAR VENTURES INCORPORATED,% NELSON LIN,75 W END AVE APT P2G,NEW YORK,NY,10023-7868,S30,,
41,99815,834645510,FRANK AND SUSIE LIN FOUNDATION,% NELSON LIN,75 W END AVE APT P2G,NEW YORK,NY,10023-7868,S30,,
42,100494,842283500,TRANSFORM FINANCE INC,% CURTIS LYON - SECRETARY & TREASUR,188 GRAND ST APT 2,NEW YORK,NY,10013-3752,S30,,
43,101118,842999033,ACHIEVMENT EXPLORERS INC,% PAUL MARTIN,1825 PARK AVENUE,NEW YORK,NY,10035-1932,S30,,
44,102068,844058366,FIVE BOROUGH JOBS CAMPAIGN,% RANDOLPH PEERS,570 LEXINGTON AVE FL 2,NEW YORK,NY,10022-6736,S30,,
45,103442,851319291,PUBLIC MONEY ACTION LTD,,450 RIVERSIDE DR,NEW YORK,NY,10027-6820,S30,,
46,104056,852402420,DOROTHY DAY HOUSING DEVELOPMENT FUND COMPANY INC,% BROADWAY HOUSING COMMUNITIES INC,583 RIVERSIDE DRIVE 7TH FL,NEW YORK,NY,10031-8346,S31,,
47,104585,853122376,NATIONAL BASKETBALL ASSOCIATION FOUNDATION,% BRIAN MCDERMOTT,645 FIFTH AVENUE,NEW YORK,NY,10022-5910,S31,,
48,104621,853169615,GLOBAL EQUITY MOVEMENT FOUNDATION,% TIMOTHY CORPREW,PO BOX 3281,NEW YORK,NY,10017-0000,S30,,
49,105492,854302409,FOUNDERS IMPACT NEW ENTERPRISE,% PAUL P MARTIN,140 WEST 31ST STREET,NEW YORK,NY,10001-3411,S30,,
50,105641,861092812,PROMETHEUS INSTITUTE FOR SUSTAINABLE DEVELOPMENT,% TRAVIS BRADFORD,520 W 112TH ST APT 16A,NEW YORK,NY,10025-1604,S30,,
51,105709,861186002,WOMEN ENTREPRENEURS INTERNATIONAL,% KIMBERLEY BUENO,156 BEEKMAN ST,NEW YORK,NY,10038-2051,S30,,
52,106392,862253352,VILLAGE-CHELSEA COMMUNITY DEVELOPMENT CORPORATION,% MARIA DIAZ,PO BOX 1116,NEW YORK,NY,10113-1116,S30,,
53,107296,863784520,PEAKS ISLAND INFORMATION INC,% ALICIA KERSHAW,95 FRANKLIN ST APT 4,NEW YORK,NY,10013-3471,S31,,
54,108651,872458311,PLAY2EARN FOUNDATION INC,% CHRIS GONSALVES,223 BEDFORD AVE STE A 2009,NEW YORK,NY,11211-4171,S30,,
55,109249,873372148,GRAND PENN COMMUNITY ALLIANCE INC,% GEORGE LENCE,28 WEST 44TH STREET 301,NEW YORK,NY,10036-0000,S30,,
56,113571,900853595,URBAN EMPOWERMENT FUND,% PAUL WYCISK,80 PINE STREET 9TH FLOOR,NEW YORK,NY,10005-1702,S31,,
57,117805,933182112,ENTREPRENEURS FOR GLOBAL CHANGE INC,,1412 BROADWAY FL 21,NEW YORK,NY,10018-9243,S30,,
