,EIN,NAME,ICO,STREET,CITY,STATE,ZIP,NTEE_CD
26619,134089489,DOWNTOWN NEW ROCHELLE BUSINESS IMPROVEMENT DIST MGMT ASSOC INC,% HOWARD RATTNER,515 NORTH AVE,NEW ROCHELLE,NY,10801-3405,S30
27073,134136763,BETHEL GOSPEL COMMUNITY DEVELOPMENT CORPORATION,% VINCENT WILLIAMS,1832 MADISON AVE,NEW YORK,NY,10035-2707,S31
27344,134165855,CUNY ECONOMIC DEVELOPMENT CORPORATION,,555 W 57TH ST FL 16,NEW YORK,NY,10019-2925,S31
27772,134265021,OPERATION OSWEGO COUNTY FOUNDATION INC,% L MICHAEL TREADWELL,44 W BRIDGE ST,OSWEGO,NY,13126-2026,S30
27816,134303348,DOWNTOWN BROOKLYN NEIGHBORHOOD ALLIANCE,% KAREN DAUGHTRY,415 ATLANTIC AVE,BROOKLYN,NY,11217-1702,S31
30787,140503540,LOISABA COMMUNITY CONSERVATION FOUNDATION INC,% JAMES T TOWNE JR,PO BOX 655,SARATOGA SPGS,NY,12866-0655,S31
32319,141627619,PROMOTE GLOVERSVILLE DEVELOPMENT CORPORATION,,2 N MAIN ST,GLOVERSVILLE,NY,12078-3004,S30
32701,141681502,WARREN COUNTY LOCAL DEVELOPMENT CORPORATION,% PAUL B DUSEK,1340 STATE ROUTE 9,LAKE GEORGE,NY,12845-3434,S30
33522,141763507,FRANKLIN COUNTY LOCAL DEVELOPMENT CORPORATION,,355 W MAIN ST STE 428,MALONE,NY,12953-1826,S31
34058,141798918,HUNTER FOUNDATION INC,,5994 MAIN STREET,TANNERSVILLE,NY,12485-0000,S31
34199,141807610,ROGERS ISLAND HERITAGE DEVELOPMENT ALLIANCE INC,,PO BOX 208,FORT EDWARD,NY,12828-0208,S30
34379,141818989,SULLIVAN-WAWARSING REAP CORP,% APRIL BARSCHOW,PO BOX 5012,MONTICELLO,NY,12701-5192,S32
34678,141845651,NEW YORK WOMENS CHAMBER OF COMMERCE INC,% QUENIA ABREU,1524 AMSTERDAM AVENUE,NEW YORK,NY,10031-8954,S31
34752,141933279,FOREST AVENUE DISTRICT MANAGEMENT ASSOCIATION INC,% SUSAN S MEEKER,686 FOREST AVE,STATEN ISLAND,NY,10310-2507,S30
39024,161081958,ROCHESTER DOWNTOWN DEVELOPMENT CORPORATION,% ROBERT K LEE,100 CHESTNUT ST STE 1910,ROCHESTER,NY,14604-2410,S30
39121,161096074,CANASTOTA DEVELOPMENT CORPORATION,% JOHN PATANE,PO BOX 105,CANASTOTA,NY,13032-0105,S30
39895,161191210,HORNELL INDUSTRIAL DEVELOPMENT CORPORATION,,40 MAIN STREET,HORNELL,NY,14843-1559,S30
40211,161245812,STEUBEN AREA ECONOMIC DEVELOPMENT,% WHEAT & LEHMAN LLP,7234 STATE ROUTE 54,BATH,NY,14810-9587,S30
41792,161426444,LIVINGSTON COUNTY DEVELOPMENT CORP,,6 COURT ST RM 306,GENESEO,NY,14454-1276,S30
42070,161448788,SENECA NATION OF INDIANS ECONOMIC DEVELOPMENT COMPANY,,PO BOX 437,SALAMANCA,NY,14779-0437,S30
42225,161460592,CATTARAUGUS COUNTY BUSINESS DEVELOPMENT CORPORATION,% MATTHEW KELLER,PO BOX 1320,OLEAN,NY,14760-6320,S30
42247,161462402,SUGAR HILL DEVELOPMENT CORP,% CHARLES O JESSUP,PO BOX 177,ALFRED STATION,NY,14803-0000,S30
42269,161464168,DOWNTOWN SPECIAL SERVICES INCP INC,% HIEDI N ZIMMER-MEYER,100 CHESTNUT STREET 1910,ROCHESTER,NY,14604-0000,S30
42429,161475745,SOUTHERN TIER ECONOMIC DEVELOPMENT INC,% SAYLES & EVANS,1 W CHURCH ST,ELMIRA,NY,14901-2741,S30
42604,161488538,WYOMING COUNTY COMMUNITY ACTION INC,% MARTIN D MUCHER,6470 ROUTE 20A 1,PERRY,NY,14530-0000,S31
43032,161516181,THOUSAND ISLANDS REGIONAL TOURISM DEVELOPMENT CORPORATION,% GARY DEYOUNG DIRECTOR OF TOURISM,43373 COLLINS LANDING RD,ALEX BAY,NY,13607-2210,S30
43085,161520256,DUNKIRK LOCAL DEVELOPMENT CORPORATION,% PATRICK R WAWRO,338 CENTRAL AVE STE 2,DUNKIRK,NY,14048-2100,S31
43131,161523539,CENTER FOR ECONOMIC & ENVIROMENTAL PARTNERSHIP INC,% DAVID ALEXANDER,PO BOX 8625,ALBANY,NY,12208-0625,S30
43364,161537928,INCLUSIVE ECONOMY CNY INC,% C/O COOPERATIVE FEDERAL,1816 ERIE BLVD E,SYRACUSE,NY,13210-0000,S31
43564,161551124,REMSEN DEVELOPMENT CORPORATION,,PO BOX 263,REMSEN,NY,13438-0263,S30
43633,161554600,HUDSON VALLEY TOURISM INC,% ANN COOPER,401 STATE ST,HUDSON,NY,12534-1915,S30
43676,161556274,CARTHAGE INDUSTRIAL DEVELOPMENT CORPORATION,,414 STATE ST,CARTHAGE,NY,13619-1414,S30
43685,161556450,NFLP BUFFALO BILLS ALUMNI CHAPTER INC,% JAECKLE FLEISCHMANN & MUGEL LLP,1648 LAKEVIEW RD,LAKE VIEW,NY,14085-9706,S31
43732,161558667,ORLEANS COUNTY LOCAL DEVELOPMENT CORP,% COIDA,121 NORTH MAIN STREET,ALBION,NY,14411-1237,S30
43911,161567484,GRASSE RIVER HERITAGE AREA DEVELOPMENT CORPORATION,,PO BOX 722,CANTON,NY,13617-0722,S30
43922,161568466,AMPLIFY EQUITY INC,,168 N MAIN ST,ELMIRA,NY,14901-2918,S30
43933,161569132,BUFFALOS GREEN GOLD DEVELOPMENT CORPORATION,% JAMES PITTS,PO BOX 865,BUFFALO,NY,14201-0865,S31
44051,161576206,DELAWARE COUNTY LOCAL DEVELOPMENT CORPORATION,% JAMES THOMPSON,1 COURTHOUSE SQ STE 4,DELHI,NY,13753-1602,S30
44163,161582458,JAMESTOWN CENTER CITY DEVELOPMENT CORPORATION,% THE GEBBIE FOUNDATION,319 WEST THIRD STREET,JAMESTOWN,NY,14701-4933,S30
44168,161582745,MONTGOMERY COUNTY PARTNERSHIP INC,% MARK KILMER,2 NORTH MAIN STREET,GLOVERSVILLE,NY,12078-0000,S30
44211,161585758,SENECA COUNTY ECONOMIC DEVELOPMENT CORPORATION,,1 DIPRONIO DR,WATERLOO,NY,13165-1680,S30
44231,161586614,ROME UP AND RUNNING INC,,503 N GEORGE ST,ROME,NY,13440-4101,S30
44436,161598005,TWIN TIERS ECONOMIC DEVELOPMENT INC,% ARIE J VAN DEN BLINK,400 EAST CHURCH STREET,ELMIRA,NY,14901-0000,S30
44549,161603812,GREECE ECONOMIC DEVELOPMENT PROJECTS INC,% EDWARD MARIANETTI,1 VINCE TOFANY BLVD,ROCHESTER,NY,14612-5016,S30
44591,161606023,F O C U S GREATER SYRACUSE INC,% CITY HALL COMMONS,300 S STATE ST STE 520,SYRACUSE,NY,13202-2060,S30
44614,161607609,CLIFTON FINE ECONOMIC DEVELOPMENT CORPORATION,% WILLIAM S HUNTER,PO BOX 115,WANAKENA,NY,13695-0115,S30
44660,161610667,WEBSTER VILLAGE BUSINESS IMPROVEMENT MANAGEMENT ASSOC INC,,PO BOX 941,WEBSTER,NY,14580-0000,S30
46912,166492112,THE GREATER DELHI AREA FOUNDATION,% THE DELAWARE NATIONAL BANK OF DEL,124 MAIN ST,DELHI,NY,13753-1213,S30
47002,200045564,LEWIS COUNTY DEVELOPMENT CORP,% GLEN GAGNIER,PO BOX 106,LOWVILLE,NY,13367-0106,S30
47247,200392634,FRANKLIN IMPROVEMENT SOCIETY OF FRANKLIN NY,% KIM HYZER,PO BOX 166,FRANKLIN,NY,13775-0166,S30
47503,200740845,T O P ENTERPRISES INC,% DWIGHT E BROWN,971 JEFFERSON AVE,BUFFALO,NY,14204-1010,S31
47525,200774906,HESTER STREET COLLABORATIVE INC,% EVA ALLIGOOD,113 HESTER STREET,NEW YORK,NY,10002-0000,S31
47792,201263893,LUTHER FOREST TECHNOLOGY CAMPUS ECONOMIC DEVELOPMENT CORPORATION,% J THOMAS ROOHAN,519 BROADWAY,SARATOGA SPGS,NY,12866-2208,S30
48230,201960550,CORTLAND REGIONAL SPORTS COUNCIL INC,% MACHELL PHELPS,100 GRANGE PLACE 209,CORTLAND,NY,13045-0000,S30
48447,202264584,THE WORKING WORLD INC,% STEFANIE BARLEY,228 PARK AVENUE SOUTH 65768,NEW YORK,NY,10003-0000,S30
48511,202380204,BUFFALO JEREMIAH PARTNERSHIP FOR COMMUNITY DEVELOPMENT,% RICHARD ALLEN STENHOUSE,1525 MICHIGAN AVE,BUFFALO,NY,14209-1721,S30
48534,202424865,TOWN OF PLATTSBURGH LDC INC,% PHILIP B CORELL,151 BANKER RD,PLATTSBURGH,NY,12901-7307,S31
48602,202568137,TOWN OF NORTH HEMPSTEAD BUSINESS AND TOURISM DEVELOPMENT CORP,% TOWN OF NORTH HEMSTEAD,51 ORCHARD STREET,ROSLYN HEIGHTS,NY,11577-0000,S31
48659,202659913,MYRTLE AVENUE BROOKLYN DISTRICT MANAGEMENT ASSOCIATION INC,% THOMAS SCHUTTE,472 MYRTLE AVENUE 2ND FLOOR,BROOKLYN,NY,11205-2522,S30
48660,202660238,BOC DEVELOPMENT CORP,% NANCY CARIN,85 S OXFORD ST,BROOKLYN,NY,11217-1607,S31
48670,202681698,BUFFALO BROWNFIELD RESTORATION CORPORATION,% PETER M CAMMARATA,95 PERRY ST STE 404,BUFFALO,NY,14203-3030,S31
49208,203579392,THE HUDSON VALLEY CENTER FOR INNOVATION INC,% JEFF PEARLMAN CPA,169 MAMARONECK AVE 2ND FL STE 12,WHITE PLAINS,NY,10601-0000,S30
49267,203686339,HARLEM WATERFRONT COUNCIL INCORPORATED,% PEGGY SHEPARD,PEGGY SHEPARD 1854 AMSTERDAM AVENUE,NEW YORK,NY,10031-0000,S30
49637,204230463,WESTMINSTER ECONOMIC DEVELOPMENTINITIATIVE INC,,436 GRANT STREET,BUFFALO,NY,14213-1183,S30
49810,204539725,SEAWAY PRIVATE EQUITY CORPORATION,% CITEC INC,CO CLARKSON UNIVERSITY BOX 8561,POTSDAM,NY,13699-0001,S30
49989,204854777,DOWNTOWN NIAGARA FALLS BUSINESSASSOCIATION INC,% DNUSA,10 RAINBOW BLVD,NIAGARA FALLS,NY,14303-1132,S30
50209,205148995,RICHARDSON CENTER CORPORATION,,444 FOREST AVE,BUFFALO,NY,14213-1209,S30
50307,205311377,NEAR WEST SIDE INITIATIVE INC,% GREEN & SEIFTER ATTORNEYS,115 OTISCO ST,SYRACUSE,NY,13204-3067,S30
50472,205559159,NEW AMSTERDAM PUBLIC MARKETASSOCIATION INC,,40 1ST AVE APT 3I,NEW YORK,NY,10009-7633,S31
50488,205581866,FRIENDS OF PELHAM BAY PARK INC,% PETER QUINONES,PO BOX 71,BRONX,NY,10464-0071,S31
50696,205877789,PHILMONT BEAUTIFICATION INC,% SALLY BAKER,113 MAIN ST PO BOX 1072,PHILMONT,NY,12565-0000,S30
51069,208228215,PHELPS BUSINESS DEVELOPMENT &TOURISM COUNCIL INC,% CHAD SHECKLER,PO BOX 31,PHELPS,NY,14532-0031,S30
51082,208261600,TAIA PEACE FOUNDATION,% ALTMAN GREENFIELD & SELVAGGI,200 PARK AVENUE SOUTH 8TH FLOOR,NEW YORK,NY,10003-1526,S30
51212,208497991,GRAMEEN AMERICA INC,% ANDREW HORROW CPA,8211 37TH AVE STE 607,JACKSON HTS,NY,11372-7015,S31
51260,208626874,CPIWG INC,% MARIAN TRANO,315 W 70TH ST APT 12L,NEW YORK,NY,10023-3576,S30
51491,208995315,SINY INC,,1441 SOUTH AVENUE,STATEN ISLAND,NY,10314-3779,S30
51787,222243540,ADIRONDACK ECONOMIC DEVELOPMENT CORP,,67 MAIN ST STE 300,SARANAC LAKE,NY,12983-5747,S30
53070,222559522,ROCHESTER ECONOMIC DEVELOPMENT CORPORATION,,55 SAINT PAUL ST STE 57,ROCHESTER,NY,14604-1314,S31
54708,223693654,CATSKILL MOUNTAIN CRAFT COLLECTIVE INC,% JUTTA SCHIPPMANN,PO BOX 924,HUNTER,NY,12442-0924,S32
54773,223773177,INSTITUTE FOR QUANTITATIVE RESEARCH,% FRANK MEGALE CPA,CO JAFFE MGMT 555 8TH AVE 1902,NEW YORK,NY,10018-0000,S31
59921,260283628,SENECA FALLS DEVELOPMENTCORPORATION,,20 E BAYARD ST,SENECA FALLS,NY,13148-1623,S31
59974,260372982,ERIE CANALWAY HERITAGE FUND INC,% JOSEPH M CALLAHAN,PO BOX 219,WATERFORD,NY,12188-0219,S30
60048,260512900,INSOURCING,,4451 CHERRY VALLEY TURNPIKE,LAFAYETTE,NY,13084-0000,S30
60411,261278224,SUNNYSIDE DISTRICT MANAGEMENT ASSOCIATION,,PO BOX 4477,SUNNYSIDE,NY,11104-0477,S30
60769,261676815,ST LAWRENCE-NORTH COUNTRY COMMUNITY FOUNDATION INC,% JEN DUNN,101 MAIN STREET,CANTON,NY,13617-0000,S30
61079,262213736,OQI CARES,% HOPETON SMALLING,2624 E FAYETTE ST,SYRACUSE,NY,13224-1124,S31
61263,262533074,GREATER ALLEN DEVELOPMENT CORPORATION,% KEVIN HOWARD,110-42 MERRICK BLVD,JAMAICA,NY,11433-0000,S31
61311,262600494,MARKET DISTRICT BUSINESS ASSOCIATION OF ROCHESTER NY,,20 PUBLIC MARKET 22,ROCHESTER,NY,14609-0000,S30
61577,263068244,COMMUNITY BASED BUSINESS INCUBATOR CENTER INC,% MICHAEL V FRANCHELL,136 TALLMADGE PL,ALBANY,NY,12208-1086,S30
61703,263271791,SOUTHTOWNS COMMUNITY ENHANCEMENT COALITION INC,% TOWN OF EVANS,PO BOX 459,NORTH COLLINS,NY,14111-0459,S30
62133,263838339,LOCKPORT MAIN STREET INC,,160 WASHBURN STREET SUITE 1-202,LOCKPORT,NY,14094-4529,S30
62215,263929453,MERCHITECT DEVELOPMENT INSTITUTE INC,% JEREMY STENNETT,48 WALL STREET 11TH FL,MANHATTAN,NY,10005-2985,S30
62265,264032355,NYBDC LOCAL DEVELOPMENT CORPORATION,,50 BEAVER STREET,ALBANY,NY,12207-1538,S30
62411,264277183,WYOMING COUNTY BUSINESS ASSISTANCE CORPORATION,% JAMES PIERCE,36 CENTER ST STE D,WARSAW,NY,14569-1471,S30
63382,270756427,ADIRONDACK ASSOCIATION OF TOWNS AND VILLAGES INC,,PO BOX 83,HADLEY,NY,12835-0083,S32
63529,270927525,ARISE OF NORTHERN NEW YORK INC,% JAMES LAVALLEY,PO BOX 1200,TUPPER LAKE,NY,12986-0000,S30
63756,271210659,THESSALONICA COMMUNITY HANDS INC,,313 SAINT ANNS AVE,BRONX,NY,10454-2103,S31
63800,271273797,MICHIGAN STREET AFRICAN AMERICAN HERITAGE CORRIDOR COMMISSION INC,% KAVINOKY COOK LLP,136 BROADWAY STE 101,BUFFALO,NY,14203-1630,S30
64164,271727452,ONTARIO COUNTY ECONOMIC DEVELOPMENT CORPORATION,% JOSEPH BRIDGEFORD,20 ONTARIO STREET,CANANDAIGUA,NY,14424-0000,S30
64243,271844156,BUFFALO NIAGARA SPORTS DEVELOPMENT COMPANY INC,% BUFFALO NIAGARA CONV & VIS BUREAU,403 MAIN ST STE 630,BUFFALO,NY,14203-2107,S31
64576,272332649,NEW YORK COMMUNITIES ORGANIZING FUND INC,% JONATHAN WESTIN,1 METROTECH CENTER NORTH 11TH FL,BROOKLYN,NY,11201-0000,S30
64634,272424735,HAMBURG NEW YORK LAND DEVELOPMENT CORPORATION,,6122 SOUTH PARK AVENUE,HAMBURG,NY,14075-0000,S31
64924,272919473,CANTON CAPITAL RESOURCE CORPORATION,,1 MAIN ST STE 101,CANTON,NY,13617-1279,S30
65160,273251795,SPES NOVA INC,% ERICK RENGIFO PHD,56 PARK AVE,LARCHMONT,NY,10538-4223,S30
65204,273314095,BARRETT LENDING CORPORATION,,1347 BARRETT CIR W,CARMEL,NY,10512-4435,S31
65338,273490386,NEW YORK FORUM INSTITUTE INC,% MOUND COTTON WOLLAN & GREENGRASS,C/O THE EXPERIENCE 555 MADISON AVE,NEW YORK,NY,10022-0000,S30
65439,273641025,DOUGLASTON LOCAL DEVELOPMENT CORPORATION,% RAVI THAKUR,234-21 41ST AVENUE 2ND FLOOR,DOUGLASTON,NY,11363-1502,S30
65821,274317873,NORWICH BUILDING TOMORROW FOUNDATION INC,% MARTIN DIETRICH,52 SOUTH BROAD ST,NORWICH,NY,13815-0000,S31
65934,274516734,SOUTHERN TIER NETWORK INC,% MARCIA WEBER,88 E TIOGA AVE STE 201,CORNING,NY,14830-2882,S30
66380,300048898,OWEGO REVITALIZATION AND BETTERMENT CORP,% PHOEBE MORRIS TREASURER,72 MCMASTER ST,OWEGO,NY,13827-1321,S31
66601,300253124,SUTPHIN BOULEVARD DISTRICT MANAGEMENT ASSOCIATION INC,% JOY TOMCHIN,161-10 JAMAICA AVENUE,JAMAICA,NY,11432-6139,S31
66692,300413862,JAMESTOWN RENAISSANCE CORPORATION,% JASON STRONZ,200 E 3RD ST STE 3,JAMESTOWN,NY,14701-5433,S30
66875,300579161,WINDSOR PARTNERS INC,,PO BOX 432,WINDSOR,NY,13865-0432,S30
67258,301347511,CYBERTHICS FOUNDATION INC,,3715 KINGS HWY APT 3G,BROOKLYN,NY,11234-2825,S30
67732,311742615,FOREST HILLS COMMUNITY PROJECTS ASSOCIATION,% JOAN TALBERT,PO BOX 751123,FOREST HILLS,NY,11375-0000,S30
68131,320305260,MSDC INC,,102 WEST 116TH STREET,NEW YORK,NY,10026-2500,S30
68502,331101375,GENESEE GATEWAY LOCAL DEVELOPMENT CORPORATION,% STEVEN G HYDE,99 MEDTECH DRIVE 106,BATAVIA,NY,14020-0000,S30
68675,342001275,BETHESDA COMMUNITY DEVELOPMENT CORPORATION,,1365 MAIN STRET,BUFFALO,NY,14209-0000,S30
68775,352182698,PUTNAM VALLEY RESIDENTS COALITION CORP,% DOLORES JONES,126 BRYANT POND RD,PUTNAM VALLEY,NY,10579-2400,S32
69425,364465022,DOWNTOWN SCHENECTADY IMPROVEMENT CORP,,143 STATE ST,SCHENECTADY,NY,12305-1707,S31
69832,364984379,HOUSING AND EMERGENCY SERVICES FOR LOW INCOME PEOPLE,% SYLVIA BLACK,3843 UNION RD STE 15 # 242,BUFFALO,NY,14225-4256,S30
70015,371588512,JEFFERSON COUNTY LOCAL DEVELOPMENT CORPORATION,,800 STARBUCK AVE STE 800,WATERTOWN,NY,13601-1641,S30
70290,372072695,SHEOWS CARES FOUNDATION INC,,C/O 303 5TH AVENUE,NEW YORK,NY,10016-6601,S30
70516,383873130,WESTCHESTER SQUARE BUSINESS IMPROVEMENT DISTRICT INC,,43 WESTCHESTER SQ FRNT 2,BRONX,NY,10461-3551,S31
70588,383941342,1M1B FOUNDATION,% FICE AMERICA INC,46 WARD AVE,MOUNT KISCO,NY,10549-2918,S30
70809,411800192,THE COMMUNITY DEVELOPMENT VENTURE CAPITAL ALLIANCE,% JUDY BURTON,475 RIVERSIDE DR STE 1264,NEW YORK,NY,10115-0052,S31
70900,412138050,PROSPECT HEIGHTS NEIGHBORHOOD DEVELOPMENT COUNCIL,% GIB VECONI,284 PARK PL,BROOKLYN,NY,11238-3906,S30
70982,412252514,DRYDEN COMMUNITY CENTER CAFE INC,% CHARLES HART,31 LEE RD,DRYDEN,NY,13053-9516,S30
71100,421613553,CLAYTON LOCAL DEVELOPMENT CORPORATION,,913 STRAWBERRY LN,CLAYTON,NY,13624-1409,S31
71126,421650478,CHINATOWN PARTNERSHIP LOCAL DEVELOPMENT CORPORATION,,217 PARK ROW 2FL9,NEW YORK,NY,10038-1101,S30
71330,432063652,LIBERTY COMMUNITY DEVELOPMENT CORP,% DIANNE J BRADY,167 NORTH MAIN STREET 2ND FL,LIBERTY,NY,12754-1864,S30
71533,450722514,WEST HARLEM DEVELOPMENT CORPORATION,,423 W 127TH ST SUITE A,NEW YORK,NY,10027-2561,S30
71549,450846197,50-50 MICROFINANCE ENTERPRISES INC,% ETHAN WAGNER,599 E 7TH ST,BROOKLYN,NY,11218-5911,S30
71625,451474185,INVESTAMERICA PARTNERS INC,% MICHAEL KLEIN,640 FIFTH AVE,NYC,NY,10019-6102,S30
71833,452344082,GOWANUS ALLIANCE BOARD OF TRADE INC,% JISELLE BASILE,135 13TH ST,BROOKLYN,NY,11215-4603,S31
71913,452452108,HUDSON VALLEY ECONOMIC DEVELOPMENT NETWORK INC,% DEANNE ROBERTSON,42 CATHARINE STREET,POUGHKEEPSIE,NY,12601-0000,S30
71939,452481780,BRRALLIANCE INC,% MARY ANN KEDRON,52 AMHERST ST,BUFFALO,NY,14207-2748,S30
72297,452947617,BLACK CHAMBER OF COMMERCE OF NEW YORK CITY INC,% TOSHA MILLER,237 LEXINGTON AVE,BROOKLYN,NY,11216-1115,S31
